Date,Description,Amount
2026-01-03,NETFLIX.COM 866-579-7172 CA,-15.49
2026-01-04,WHOLEFDS MKT #10293 AUSTIN TX,-87.43
2026-01-06,SPOTIFY USA NEW YORK NY,-10.99
2026-01-08,PLANET FITNESS CLUB 4471,-24.99
2026-01-09,SHELL OIL 57442318 HOUSTON TX,-41.20
2026-01-12,NYTimes Digital Subscription,-4.25
2026-01-15,ADOBE *CREATIVE CLOUD 408-536,-54.99
2026-01-20,ATM WITHDRAWAL 0092 MAIN ST,-100.00
2026-01-22,TARGET 00012948 AUSTIN TX,-63.18
2026-02-03,NETFLIX.COM 866-579-7172 CA,-15.49
2026-02-06,SPOTIFY USA NEW YORK NY,-10.99
2026-02-07,PLANET FITNESS CLUB 4471,-24.99
2026-02-11,WHOLEFDS MKT #10293 AUSTIN TX,-102.77
2026-02-12,NYTimes Digital Subscription,-4.25
2026-02-15,ADOBE *CREATIVE CLOUD 408-536,-54.99
2026-02-18,SHELL OIL 57442318 HOUSTON TX,-39.85
2026-02-25,AMZN MKTP US*RT4D9 AMZN.COM WA,-31.04
2026-03-03,NETFLIX.COM 866-579-7172 CA,-16.99
2026-03-06,SPOTIFY USA NEW YORK NY,-10.99
2026-03-12,NYTimes Digital Subscription,-4.25
2026-03-14,AMAZON PRIME*RT9 888-802-3080 WA,-139.00
2026-03-15,ADOBE *CREATIVE CLOUD 408-536,-54.99
2026-03-19,TARGET 00012948 AUSTIN TX,-44.90
2026-04-03,NETFLIX.COM 866-579-7172 CA,-16.99
2026-04-06,SPOTIFY USA NEW YORK NY,-10.99
2026-04-12,NYTimes Digital Subscription,-4.25
2026-04-15,ADOBE *CREATIVE CLOUD 408-536,-54.99
2026-04-17,WHOLEFDS MKT #10293 AUSTIN TX,-76.30
